step,query_id,query,y_true_helpful,y_pred_helpful,helpful_probability,prediction_error,prequential_accuracy,prequential_f1,adaptive_alpha,drift_detected
1,Q1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,1,0,0.5,1,0.0,0.0,0.5112602281461981,0
2,Q10,Traditional RAG Retrieval Ranker Reader LongRAG Long Retrieval Long Reader Figure 1: Traditional RAG,1,1,0.5012499973958399,0,0.5,0.6666666666666666,0.5187189161648226,0
3,Q11,"design its usage. Generally speaking, the contributions of this paper are1: • We proposed to evaluat",1,0,0.47562090879710306,1,0.3333333333333333,0.5,0.5240827928871724,0
4,Q12,"Improving language models by retrieving from trillions of tokens Sampling. When sampling, at the end",1,1,0.5070677357786998,0,0.5,0.6666666666666666,0.5470798561420431,0
5,Q13,Training Retriever Top-20 Top-100 NQ TriviaQA WQ TREC SQuAD NQ TriviaQA WQ TREC SQuAD None BM25 59.1,1,1,0.5217518148047925,0,0.6,0.7499999999999999,0.5540067273601984,0
6,Q14,"deviation at the beginning, and then drop. In particular, the QPS of NSSG increases as the standard ",1,1,0.508651264530101,0,0.6666666666666666,0.8,0.5644796197925459,0
7,Q15,"within the framework of multi-stage ranking, we characterize the latency vs. effectiveness tradeoff ",1,1,0.5258430749799321,0,0.7142857142857143,0.8333333333333333,0.5746298166239189,0
8,Q16,"As an intelligent assistant, your primary objective is to answer questions based on information with",1,1,0.5216583243651212,0,0.75,0.8571428571428571,0.5838904936567854,0
9,Q17,Improving language models by retrieving from trillions of tokens Table 6 | Sample - Beavers are inte,1,1,0.5253798304195338,0,0.7777777777777778,0.8750000000000001,0.6064819984012946,0
10,Q18,"and query difficulty. Below, we summarize our main contributions. (1) More systematic definition of ",1,1,0.5333678624939078,0,0.8,0.888888888888889,0.6162591078889273,0
11,Q19,ARES Ranking of Pseudo RAG Systems NQ HotpotQA WoW FEVER MultiRC ReCoRD C.R A.R. C.R A.R. C.R A.R. C,1,1,0.5476998744012644,0,0.8181818181818182,0.9,0.6297571184394165,0
12,Q2,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,0,1,0.5562162402421621,1,0.75,0.8571428571428572,0.6095497503813645,0
13,Q20,Table 5: Case Study: Comparison Between LightRAG and the Baseline NaiveRAG. Query How do indigenous ,1,1,0.539207558220192,0,0.7692307692307693,0.8695652173913043,0.6205421154622549,0
14,Q3,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",1,1,0.5371565087714478,0,0.7857142857142857,0.8799999999999999,0.6233185471252823,0
15,Q4,A Appendix A.1 Instructions A.1.1 Web Search Please write a passage to answer the question Question:,1,1,0.5865117715827247,0,0.8,0.888888888888889,0.6121408069822576,0
16,Q5,Improving language models by retrieving from trillions of tokens Algorithm 1: Overview of Retro mode,0,1,0.5254767107716695,1,0.75,0.8571428571428571,0.599772353939281,0
17,Q6,function S(.) rather than exploiting the last-token representation for relevance scoring. score(.) i,1,0,0.4762006930955561,1,0.7058823529411765,0.8275862068965518,0.6218705102202077,0
18,Q7,January 2025 Figure 3. Overall Performance in Mitigating Hallucinations on HaluBenchsmall 4.3. Resul,1,1,0.5272964864536971,0,0.7222222222222222,0.8387096774193549,0.6275960829774238,0
19,Q8,173 176 173 172 ArguAna 176 179 173 182 BioASQ 206 228 244 234 Climate-Fever 57 60 62 62 DBPedia-ent,1,1,0.5440874563564282,0,0.7368421052631579,0.8484848484848485,0.6385362137992493,0
20,Q9,Published in Transactions on Machine Learning Research (08/2022) Table 1: Unsupervised recall@k on t,1,1,0.5208224177726828,0,0.75,0.8571428571428571,0.6570891864710869,0
