Query,Rank,Score,Title,Page,Citation,Snippet
What is retrieval augmented generation?,1,0.694,retrieval augmented generation for large language models a survey,17,retrieval augmented generation for large language models a survey (p.17),"preprint arXiv:2212.14024, 2022. [24] Z. Jiang, F. F. Xu, L. Gao, Z. Sun, Q. Liu, J. Dwivedi-Yu, Y. Yang, J. Callan, and G. Neubig, “Active retrieval "
What is retrieval augmented generation?,2,0.6624,retrieval augmented multimodal language modeling,14,retrieval augmented multimodal language modeling (p.14),"up various benefits and new capabilities, such as improved explainability, faithfulness, and controlla- bility in generation (§A). D.2. Taking an exis"
What is retrieval augmented generation?,3,0.6378,can llms evaluate retrieval augmented generation,8,can llms evaluate retrieval augmented generation (p.8),"[31] J. Liu, R. Ding, L. Zhang, P. Xie, and F. Huang, “CoFE-RAG: A comprehensive full-chain evaluation framework for retrieval- augmented generation w"
What is retrieval augmented generation?,4,0.632,hybrid retrieval for hallucination mitigation in large language models,14,hybrid retrieval for hallucination mitigation in large language models (p.14),"January 2025 org/CorpusID:266359151. [22] Li S, Stenzel L, Eickhoff C, Bahrainian SA. Enhancing Retrieval-Augmented Generation: A Study of Best Practi"
What is retrieval augmented generation?,5,0.6317,rag fusion a new take on retrieval augmented generation,8,rag fusion a new take on retrieval augmented generation (p.8),"RAG-Fusion: a New Take on Retrieval-Augmented Generation methods to improve real-time performance optimization, automated quality assurance, and integ"
How do vector databases store embeddings?,1,0.6356,vector database management techniques for large language models,3,vector database management techniques for large language models (p.3),"(DBMS) have been thor- oughly developed and applied in many aspects in the last 60 years of history, well-recognized for their consistent stabil- ity "
How do vector databases store embeddings?,2,0.6241,milvus a purpose built vector data management system,1,milvus a purpose built vector data management system (p.1),"Towards Reliable Vector Database Management Systems: A Software Testing Roadmap for 2030 SHENAO WANG, Huazhong University of Science and Technology, C"
How do vector databases store embeddings?,3,0.5965,survey of vector database management systems,1,survey of vector database management systems (p.1),Noname manuscript No. (will be inserted by the editor) Survey of Vector Database Management Systems James Jie Pan · Jianguo Wang · Guoliang Li Receive
How do vector databases store embeddings?,4,0.5761,can llms evaluate retrieval augmented generation,3,can llms evaluate retrieval augmented generation (p.3),"and chunk size signiﬁcantly impact the system’s performance. Two studies speciﬁcally focused on evaluating these components [9], [5]. In [5] the autho"
How do vector databases store embeddings?,5,0.5549,vector database management techniques for large language models,7,vector database management techniques for large language models (p.7),and results in responses that are not only generated based on the LLM’s training data but also in- formed by the most relevant and recent information 
What are the benefits of hybrid retrieval?,1,0.5029,retrieval augmented generation for large language models a survey,17,retrieval augmented generation for large language models a survey (p.17),"preprint arXiv:2212.14024, 2022. [24] Z. Jiang, F. F. Xu, L. Gao, Z. Sun, Q. Liu, J. Dwivedi-Yu, Y. Yang, J. Callan, and G. Neubig, “Active retrieval "
What are the benefits of hybrid retrieval?,2,0.4931,retrieval augmented multimodal language modeling,14,retrieval augmented multimodal language modeling (p.14),"up various benefits and new capabilities, such as improved explainability, faithfulness, and controlla- bility in generation (§A). D.2. Taking an exis"
What are the benefits of hybrid retrieval?,3,0.463,ragged towards informed design of retrieval augmented generation syste,9,ragged towards informed design of retrieval augmented generation syste (p.9),"RAGGED: Towards Informed Design of Scalable and Stable RAG Systems Domain-Specific RAG Effectiveness RAG’s impact varies by domain, particularly for l"
What are the benefits of hybrid retrieval?,4,0.4567,rocketqa an optimized training approach to dense passage retrieval for,8,rocketqa an optimized training approach to dense passage retrieval for (p.8),Strategy MRR@10 In-batch negatives 32.39 Cross-batch negatives (i.e. STEP 1) 33.32 Hard negatives w/o denoising 26.03 Hard negatives w/ denoising (i.e
What are the benefits of hybrid retrieval?,5,0.4394,hybgrag hybrid retrieval augmented generation on textual and relationa,9,hybgrag hybrid retrieval augmented generation on textual and relationa (p.9),"Limitations While HYBGRAG is capable of outperforming ex- isting RAG and GRAG methods on HQA, it still has some limitations: (1) HYBGRAG uses only the"
